"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"202","Clock Rate",0.05,0.25,0.793952693590926
"203","Clock Rate",0.05,0.75,0.658046329224581
"204","Clock Rate",0.05,1.5,0.892025013183825
"205","Clock Rate",0.05,3,0.956644916555969
"206","Generation",0.05,0.15,0.625031569453684
"207","Clock Rate",0.05,0.1,0.392619937854331
"208","Clock Rate",0.05,0.2,0.743109974816475
"209","Clock Rate",0.05,0.5,0.640953734313643
"210","Clock Rate",0.05,1,0.919540187108861
"211","Clock Rate",0.05,2,0.959168905830801
"212","Clock Rate",0.05,0.05,0.463213411227342
"213","Clock Rate",0.05,0.15,0.665771784018007
"214","Clock Rate",0.05,0.25,0.793952693590926
"215","Clock Rate",0.05,0.75,0.658046329224581
"216","Clock Rate",0.05,1.5,0.892025013183825
"217","Clock Rate",0.05,3,0.956644916555969
"218","Generation",0.05,0.25,0.656311916183187
"219","Clock Rate",0.05,0.1,0.392619937854331
"220","Clock Rate",0.05,0.2,0.743109974816475
"221","Clock Rate",0.05,0.5,0.640953734313643
"222","Clock Rate",0.05,1,0.919540187108861
"223","Clock Rate",0.05,2,0.959168905830801
"224","Clock Rate",0.05,0.05,0.463213411227342
"225","Clock Rate",0.05,0.15,0.665771784018007
"226","Clock Rate",0.05,0.25,0.793952693590926
"227","Clock Rate",0.05,0.75,0.658046329224581
"228","Clock Rate",0.05,1.5,0.892025013183825
"229","Clock Rate",0.05,3,0.956644916555969
"230","Generation",0.05,0.75,0.666352088917935
"231","Clock Rate",0.05,0.1,0.392619937854331
"232","Clock Rate",0.05,0.2,0.743109974816475
"233","Clock Rate",0.05,0.5,0.640953734313643
"234","Clock Rate",0.05,1,0.919540187108861
"235","Clock Rate",0.05,2,0.959168905830801
"236","Clock Rate",0.05,0.05,0.463213411227342
"237","Clock Rate",0.05,0.15,0.665771784018007
"238","Clock Rate",0.05,0.25,0.793952693590926
"239","Clock Rate",0.05,0.75,0.658046329224581
"240","Clock Rate",0.05,1.5,0.892025013183825
"241","Clock Rate",0.05,3,0.956644916555969
"242","Generation",0.05,1.5,0.845234812780312
"243","Clock Rate",0.05,0.1,0.392619937854331
"244","Clock Rate",0.05,0.2,0.743109974816475
"245","Clock Rate",0.05,0.5,0.640953734313643
"246","Clock Rate",0.05,1,0.919540187108861
"247","Clock Rate",0.05,2,0.959168905830801
"248","Clock Rate",0.05,0.05,0.463213411227342
"249","Clock Rate",0.05,0.15,0.665771784018007
"250","Clock Rate",0.05,0.25,0.793952693590926
"251","Clock Rate",0.05,0.75,0.658046329224581
"252","Clock Rate",0.05,1.5,0.892025013183825
"253","Clock Rate",0.05,3,0.956644916555969
"254","Generation",0.05,3,0.83886057593899
"255","Clock Rate",0.05,0.1,0.392619937854331
"256","Clock Rate",0.05,0.2,0.743109974816475
"257","Clock Rate",0.05,0.5,0.640953734313643
"258","Clock Rate",0.05,1,0.919540187108861
"259","Clock Rate",0.05,2,0.959168905830801
"260","Clock Rate",0.05,0.05,0.463213411227342
