"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"471","Generation",0.05,0.25,0.217083772522959
"472","Generation",0.05,0.75,0.472492674789158
"473","Generation",0.05,1.5,0.6848539208866
"474","Generation",0.05,3,0.847157390105906
"475","Clock Rate",0.05,0.1,0.798257434318815
"476","Clock Rate",0.05,0.2,0.411986519497458
"477","Clock Rate",0.05,0.5,0.671623932727575
"478","Clock Rate",0.05,1,0.843598141474641
"479","Clock Rate",0.05,2,0.791582685366307
"480","Clock Rate",0.05,0.05,0.0290859602126095
"481","Clock Rate",0.05,0.15,0.339038650310486
"482","Clock Rate",0.05,0.25,0.317023990290703
"483","Clock Rate",0.05,0.75,0.787608137122582
"484","Clock Rate",0.05,1.5,0.663349679644548
"485","Clock Rate",0.05,3,0.935737049975653
"486","Generation",0.1,0.1,0.271289312500849
"487","Generation",0.1,0.2,0.49885943827885
"488","Generation",0.1,0.5,0.621482654489473
"489","Generation",0.1,1,0.576241754717122
"490","Generation",0.1,2,0.599217811950525
"491","Generation",0.1,0.05,0.0205784874024522
"492","Generation",0.1,0.15,0.269981820805308
"493","Generation",0.1,0.25,0.306823713473997
"494","Generation",0.1,0.75,0.702701295287612
"495","Generation",0.1,1.5,0.684199625863651
"496","Generation",0.1,3,0.858862311781354
"497","Clock Rate",0.1,0.1,0.532642486902366
"498","Clock Rate",0.1,0.2,0.255817395547621
"499","Clock Rate",0.1,0.5,0.452528800019725
"500","Clock Rate",0.1,1,0.855716548268732
"501","Clock Rate",0.1,2,0.840794465403307
"502","Clock Rate",0.1,0.05,0.188714291378315
"503","Clock Rate",0.1,0.15,0.450211961346675
"504","Clock Rate",0.1,0.25,0.341467293246092
"505","Clock Rate",0.1,0.75,0.692986755122184
"506","Clock Rate",0.1,1.5,0.778884446638748
"507","Clock Rate",0.1,3,0.970091952081295
"508","Generation",0.2,0.1,0.383669277166415
"509","Generation",0.2,0.2,0.373589318077824
"510","Generation",0.2,0.5,0.600726406485372
"511","Generation",0.2,1,0.467794450595808
"512","Generation",0.2,2,0.51317516565909
"513","Generation",0.2,0.05,0.0466206750672677
"514","Generation",0.2,0.15,0.288602514025451
"515","Generation",0.2,0.25,0.180977178309501
"516","Generation",0.2,0.75,0.612383934755727
"517","Generation",0.2,1.5,0.661770264225207
"518","Generation",0.2,3,0.831011658338368
"519","Clock Rate",0.2,0.1,0.533492148016353
"520","Clock Rate",0.2,0.2,0.407304687232382
"521","Clock Rate",0.2,0.5,0.547016615511556
"522","Clock Rate",0.2,1,0.82661806985749
"523","Clock Rate",0.2,2,0.791197930399101
"524","Clock Rate",0.2,0.05,0.022814004664476
"525","Clock Rate",0.2,0.15,0.606758711373069
"526","Clock Rate",0.2,0.25,0.551579916402609
"527","Clock Rate",0.2,0.75,0.710019653292228
"528","Clock Rate",0.2,1.5,0.632878650220845
"529","Clock Rate",0.2,3,0.970092447221503
"530","Generation",0.01,0.1,0.488259431304462
"531","Generation",0.01,0.2,0.774465316025812
"532","Generation",0.01,0.5,0.889708731188795
"533","Generation",0.01,1,0.975656712375237
"534","Generation",0.01,2,0.958286005173391
"535","Generation",0.01,0.05,0.652204730541369
"536","Generation",0.01,0.15,0.74492107460384
"537","Generation",0.01,0.25,0.785610208871234
"538","Generation",0.01,0.75,0.949153579504584
"539","Generation",0.01,1.5,0.920349798377697
"540","Generation",0.01,3,0.958114312243453
"541","Clock Rate",0.01,0.1,0.665954403584246
"542","Clock Rate",0.01,0.2,0.870557914719666
"543","Clock Rate",0.01,0.5,0.688633646883056
"544","Clock Rate",0.01,1,0.97741947997335
"545","Clock Rate",0.01,2,0.985496836905499
"546","Clock Rate",0.01,0.05,0.23756953528927
"547","Clock Rate",0.01,0.15,0.752269158053146
"548","Clock Rate",0.01,0.25,0.906741902262451
"549","Clock Rate",0.01,0.75,0.956906235410093
"550","Clock Rate",0.01,1.5,0.972240859507598
"551","Clock Rate",0.01,3,0.986858156025569
"552","Generation",0.05,0.1,0.526373985701761
"553","Generation",0.05,0.2,0.753222170088546
"554","Generation",0.05,0.5,0.904406220255389
"555","Generation",0.05,1,0.92658416187052
"556","Generation",0.05,2,0.942354155110473
"557","Generation",0.05,0.05,0.644184772928894
"558","Generation",0.05,0.15,0.85292589960501
"559","Generation",0.05,0.25,0.87981105139387
"560","Generation",0.05,0.75,0.941965606319961
"561","Generation",0.05,1.5,0.927910973836097
"562","Generation",0.05,3,0.951416587723653
"563","Clock Rate",0.05,0.1,0.678905681822374
"564","Clock Rate",0.05,0.2,0.865844951178315
"565","Clock Rate",0.05,0.5,0.64127732583984
"566","Clock Rate",0.05,1,0.982236775579316
"567","Clock Rate",0.05,2,0.98315124330008
"568","Clock Rate",0.05,0.05,0.0876373074744527
"569","Clock Rate",0.05,0.15,0.879741674213815
"570","Clock Rate",0.05,0.25,0.898544578627574
"571","Clock Rate",0.05,0.75,0.959759843609118
"572","Clock Rate",0.05,1.5,0.943555918472848
"573","Clock Rate",0.05,3,0.989195178738382
"574","Generation",0.1,0.1,0.570008548818916
"575","Generation",0.1,0.2,0.729271907972877
"576","Generation",0.1,0.5,0.852400308755409
"577","Generation",0.1,1,0.945336024374963
"578","Generation",0.1,2,0.933973106905954
